Rank,Team Number,Location,Time,Image Score,Adjustment,Cisco Score,Total Score
1,16-1393,CA,03:56:59,281.0,-10.00,97.0,368.0
2,16-0153,MI,03:54:55,268.0,0.00,93.0,361.0
3,16-2250,CA,03:46:57,262.0,0.00,91.0,353.0
4,16-1395,CA,03:51:48,257.0,0.00,95.0,352.0
5,16-1394,CA,03:51:57,248.0,0.00,94.0,342.0
6,16-0690,OR,03:48:55,239.0,0.00,97.0,336.0
7,16-2111,MD,03:56:56,233.0,0.00,96.0,329.0
8,16-1640,IN,03:34:06,258.0,0.00,66.0,324.0
9,16-2220,CA,03:55:56,229.0,0.00,92.0,321.0
10,16-4152,CO,03:42:59,236.0,0.00,80.0,316.0
11,16-1399,CA,03:30:56,237.0,0.00,76.0,313.0
12,16-1593,CA,03:49:00,217.0,0.00,96.0,313.0
13,16-3881,CA,03:51:00,227.0,0.00,86.0,313.0
14,16-1678,CAN,03:47:59,231.0,0.00,81.0,312.0
15,16-1398,CA,03:58:04,235.0,0.00,76.0,311.0
16,16-1594,CA,03:49:55,234.0,0.00,76.0,310.0
17,16-1331,CA,03:45:06,226.0,0.00,83.0,309.0
18,16-1662,CA,03:32:59,216.0,0.00,90.0,306.0
19,16-2958,CA,03:38:59,240.0,0.00,66.0,306.0
20,16-1400,CA,03:46:59,227.0,0.00,79.0,306.0
21,16-0912,CAN,03:50:52,227.0,0.00,78.0,305.0
22,16-1345,CA,03:51:55,214.0,0.00,91.0,305.0
23,16-0350,CO,03:24:58,228.0,0.00,75.0,303.0
24,16-1595,CA,03:45:56,225.0,0.00,63.0,288.0
25,16-1597,CA,03:59:56,221.0,0.00,66.0,287.0
26,16-0155,MI,03:55:56,223.0,0.00,63.0,286.0
27,16-2113,MD,03:53:55,190.0,0.00,95.0,285.0
28,16-0513,CO,03:56:59,219.0,0.00,65.0,284.0
29,16-2221,CA,03:44:07,207.0,0.00,74.0,281.0
30,16-3433,CAN,03:41:55,188.0,0.00,92.0,280.0
31,16-1641,IN,03:48:55,202.0,0.00,78.0,280.0
32,16-2791,CA,03:53:06,184.0,0.00,92.0,276.0
33,16-1333,CA,03:36:01,182.0,0.00,93.0,275.0
34,16-0510,TX,03:44:02,202.0,0.00,73.0,275.0
35,16-3515,TX,03:56:56,204.0,0.00,71.0,275.0
36,16-1769,IL,03:29:55,194.0,0.00,79.0,273.0
37,16-1110,VA,03:47:56,203.0,0.00,68.0,271.0
38,16-2054,MD,03:36:56,202.0,0.00,68.0,270.0
39,16-1630,CA,03:42:00,189.0,0.00,77.0,266.0
40,16-1926,CAN,03:44:56,184.0,0.00,78.0,262.0
41,16-0691,OR,03:54:55,185.0,-10.00,87.0,262.0
42,16-3523,MD,03:55:06,197.0,0.00,64.0,261.0
43,16-0451,GA,03:40:57,173.0,0.00,86.0,259.0
44,16-1598,CA,03:45:59,208.0,-10.00,61.0,259.0
45,16-0692,OR,03:54:59,195.0,-10.00,73.0,258.0
46,16-0174,OK,03:51:55,183.0,0.00,74.0,257.0
47,16-1680,CAN,03:56:03,181.0,0.00,76.0,257.0
48,16-0064,NY,03:55:55,175.0,0.00,81.0,256.0
49,16-0919,OK,03:44:04,181.0,0.00,74.0,255.0
50,16-0154,MI,03:59:56,225.0,-10.00,39.0,254.0
51,16-4168,GA,03:52:56,189.0,0.00,64.0,253.0
52,16-3003,FL,03:42:00,176.0,0.00,76.0,252.0
53,16-2114,MD,03:49:56,184.0,-10.00,76.0,250.0
54,16-2080,TX,03:33:55,178.0,0.00,71.0,249.0
55,16-1633,CA,03:43:59,174.0,0.00,75.0,249.0
56,16-2118,MD,03:44:55,187.0,-10.00,72.0,249.0
57,16-1663,CA,03:52:59,168.0,0.00,81.0,249.0
58,16-2109,CA,03:37:55,171.0,0.00,77.0,248.0
59,16-0820,KS,03:51:51,204.0,0.00,44.0,248.0
60,16-2984,CA,03:52:02,182.0,0.00,66.0,248.0
61,16-1679,CAN,03:52:56,169.0,0.00,79.0,248.0
62,16-3508,TX,03:53:00,188.0,0.00,60.0,248.0
63,16-1214,MD,03:41:05,158.0,0.00,89.0,247.0
64,16-4262,TX,03:57:59,175.0,0.00,71.0,246.0
65,16-0514,CO,25:55:00,119.0,62.00,65.0,246.0
66,16-2110,CA,03:43:17,172.0,0.00,73.0,245.0
67,16-1403,CA,03:49:00,166.0,0.00,79.0,245.0
68,16-1664,CA,03:46:56,181.0,0.00,62.0,243.0
69,16-1850,CAN,03:45:56,170.0,0.00,72.0,242.0
70,16-4009,NY,03:48:59,154.0,0.00,88.0,242.0
71,16-4007,NY,03:51:06,154.0,0.00,88.0,242.0
72,16-1346,CA,03:56:56,153.0,0.00,89.0,242.0
73,16-1845,VA,03:57:56,154.0,0.00,88.0,242.0
74,16-2758,OK,03:45:03,173.0,0.00,68.0,241.0
75,16-0210,NJ,03:54:18,173.0,0.00,68.0,241.0
76,16-1451,MO,03:41:00,157.0,0.00,83.0,240.0
77,16-1406,CA,03:29:44,161.0,0.00,78.0,239.0
78,16-1385,CA,03:50:55,164.0,0.00,75.0,239.0
79,16-4005,NY,03:51:38,154.0,0.00,85.0,239.0
80,16-3295,TX,03:39:55,147.0,0.00,91.0,238.0
81,16-1896,CAN,03:44:55,150.0,0.00,88.0,238.0
82,16-0200,VA,03:45:59,148.0,0.00,90.0,238.0
83,16-0067,GA,03:58:53,158.0,0.00,80.0,238.0
84,16-2393,NV,03:43:00,162.0,0.00,75.0,237.0
85,16-1846,VA,03:53:06,150.0,0.00,87.0,237.0
86,16-1927,CAN,03:52:00,186.0,0.00,50.0,236.0
87,16-2417,AL,03:54:59,150.0,0.00,86.0,236.0
88,16-0608,GA,03:56:06,159.0,0.00,77.0,236.0
89,16-2521,IL,03:53:58,199.0,-10.00,46.0,235.0
90,16-3514,TX,03:55:55,156.0,0.00,79.0,235.0
91,16-3771,CA,03:18:01,159.0,0.00,75.0,234.0
92,16-1745,CA,03:52:14,164.0,0.00,70.0,234.0
93,16-2044,TX,03:46:56,174.0,0.00,59.0,233.0
94,16-3596,CA,03:49:58,160.0,0.00,73.0,233.0
95,16-1682,WA,03:52:02,175.0,0.00,58.0,233.0
96,16-3015,IA,03:45:55,163.0,0.00,69.0,232.0
97,16-3883,CA,03:49:10,179.0,-10.00,63.0,232.0
98,16-3434,CAN,03:54:02,176.0,0.00,55.0,231.0
99,16-4221,HI,03:55:01,178.0,0.00,53.0,231.0
100,16-0054,TN,03:57:03,159.0,0.00,72.0,231.0
101,16-1475,VA,03:47:05,143.0,0.00,87.0,230.0
102,16-3766,CA,03:48:59,143.0,0.00,87.0,230.0
103,16-2112,MD,03:53:57,148.0,0.00,82.0,230.0
104,16-1727,VA,03:58:56,137.0,0.00,93.0,230.0
105,16-2359,CA,03:56:53,162.0,0.00,66.0,228.0
106,16-1405,CA,03:47:57,168.0,0.00,59.0,227.0
107,16-3435,CAN,03:53:56,156.0,0.00,71.0,227.0
108,16-2115,MD,03:36:56,154.0,0.00,72.0,226.0
109,16-1761,CA,03:41:56,153.0,0.00,73.0,226.0
110,16-0345,GA,03:52:56,149.0,0.00,77.0,226.0
111,16-1574,VA,03:54:06,145.0,0.00,81.0,226.0
112,16-3577,MD,03:10:57,149.0,0.00,76.0,225.0
113,16-0609,GA,03:13:00,153.0,0.00,72.0,225.0
114,16-3172,CA,03:17:07,149.0,0.00,76.0,225.0
115,16-2740,TX,03:54:59,160.0,0.00,65.0,225.0
116,16-3745,SC,03:28:57,160.0,0.00,64.0,224.0
117,16-1010,MO,03:58:33,166.0,0.00,58.0,224.0
118,16-2251,CA,03:09:57,168.0,0.00,55.0,223.0
