Team Name,R1 Total Score,R2 Image Score,R2 Cisco Score,Cumulative Score,Location,Division/ Category,Tier
16-4021,235,290,27.71,552.71,CA,AFJROTC,Platinum
16-4106,229.12,273,11.29,513.41,CA,AFJROTC,Platinum
16-0850,220.47,267,10,497.47,MO,AFJROTC,Platinum
16-3282,219,223,23.43,465.43,AL,AFJROTC,Platinum
16-0447,227.94,224,9,460.94,CA,AFJROTC,Platinum
16-3502,217.82,219,20.14,456.96,SC,AFJROTC,Platinum
16-4336,226.18,207,21.43,454.61,UT,AFJROTC,Platinum
16-0255,224.12,219,9,452.12,TX,AFJROTC,Platinum
16-0851,209,230,10,449,MO,AFJROTC,Platinum
16-2667,201,220,22,443,FL,AFJROTC,Platinum
16-3661,199,209,22,430,TX,AFJROTC,Platinum
16-3780,223.24,171,23.86,418.1,UT,AFJROTC,Platinum
16-2940,190,212,12.29,414.29,TX,AFJROTC,Platinum
16-4594,208.24,191,10,409.24,TX,AFJROTC,Platinum
16-3593,209.59,173,25.14,407.73,CA,AFJROTC,Platinum
16-4591,198.82,194,12.71,405.53,TX,AFJROTC,Platinum
16-2274,201.06,187,16.43,404.49,SC,AFJROTC,Platinum
16-1842,217.35,172,11.86,401.21,FL,AFJROTC,Platinum
16-4107,202.53,187,11.29,400.82,CA,AFJROTC,Platinum
16-1553,199.94,185,15.71,400.65,TX,AFJROTC,Platinum
16-3107,197.41,189,10,396.41,AZ,AFJROTC,Platinum
16-0148,201.82,182,8.43,392.25,TX,AFJROTC,Platinum
16-2187,207,182,0,389,TX,AFJROTC,Platinum
16-1614,194.88,186,7.29,388.17,NC,AFJROTC,Platinum
16-2567,195.12,169,23.29,387.41,LA,AFJROTC,Platinum
16-0284,191.41,182,10,383.41,OK,AFJROTC,Platinum
16-2961,200,162,17.14,379.14,UT,AFJROTC,Platinum
16-0149,177.59,192,9.29,378.88,TX,AFJROTC,Platinum
16-0256,179.47,194,5.14,378.61,TX,AFJROTC,Platinum
16-2578,187.94,178,8,373.94,AL,AFJROTC,Platinum
16-2345,194.88,160,19,373.88,CA,AFJROTC,Platinum
16-0263,184,183,6,373,HI,AFJROTC,Platinum
16-0852,191,172,9,372,MO,AFJROTC,Platinum
16-0065,174,192,5.57,371.57,TX,AFJROTC,Platinum
16-1511,204.88,156,8,368.88,MI,AFJROTC,Platinum
16-4624,218.71,143,6,367.71,VA,AFJROTC,Platinum
16-3234,184,181,2.57,367.57,AE,AFJROTC,Platinum
16-2402,190.56,154,22.43,366.99,FL,AFJROTC,Platinum
16-3676,189.59,166,10,365.59,TX,AFJROTC,Platinum
16-0526,188.67,157,19.71,365.38,NE,AFJROTC,Platinum
16-0894,185.65,173,6,364.65,WA,AFJROTC,Platinum
16-2726,212.53,129,23,364.53,LA,AFJROTC,Platinum
16-3280,196.67,162,5,363.67,GA,AFJROTC,Platinum
16-3503,168,193,0,361,TX,AFJROTC,Platinum
16-4616,192.82,158,8.86,359.68,MI,AFJROTC,Platinum
16-0261,188,161,9,358,HI,AFJROTC,Platinum
16-3279,187.35,157,11.43,355.78,GA,AFJROTC,Platinum
16-0259,210.88,144,0,354.88,HI,AFJROTC,Platinum
16-3285,173.84,171,6,350.84,AL,AFJROTC,Platinum
16-2465,181.94,152,13.57,347.51,NV,AFJROTC,Platinum
16-3779,190,143,14.43,347.43,TX,AFJROTC,Platinum
16-3210,169.67,168,9,346.67,OH,AFJROTC,Platinum
16-2729,184,161,0,345,LA,AFJROTC,Platinum
16-0333,171.76,164,9,344.76,GA,AFJROTC,Platinum
16-2960,200,141,0,341,UT,AFJROTC,Platinum
16-3209,158.67,171,10,339.67,OH,AFJROTC,Platinum
16-0448,184.12,141,7.14,332.26,CA,AFJROTC,Platinum
16-2401,170.94,147,12.14,330.08,PA,AFJROTC,Platinum
16-3666,187,133,6,326,TN,AFJROTC,Platinum
16-3346,169.06,139,15.86,323.92,AZ,AFJROTC,Platinum
16-3677,186.12,128,9,323.12,TX,AFJROTC,Platinum
16-2699,166.47,144,9,319.47,LA,AFJROTC,Platinum
16-3211,150.88,145,22.71,318.59,IL,AFJROTC,Platinum
16-3506,194,124,0,318,SC,AFJROTC,Platinum
16-4109,167,129,19.86,315.86,CA,AFJROTC,Platinum
16-3135,147,167,0,314,CA,AFJROTC,Platinum
16-0262,186.94,124,0,310.94,HI,AFJROTC,Platinum
16-1170,164.53,117,22.43,303.96,CA,AFJROTC,Platinum
16-2899,174,118,10,302,OH,AFJROTC,Platinum
16-2668,164.67,130,7,301.67,FL,AFJROTC,Platinum
16-2685,160.67,127,10.29,297.96,NE,AFJROTC,Platinum
16-3245,158,138,0,296,TN,AFJROTC,Platinum
16-4564,147,139,9.29,295.29,TX,AFJROTC,Platinum
16-1086,190.59,86,11.43,288.02,IL,AFJROTC,Platinum
16-2014,164.67,122,0,286.67,TX,AFJROTC,Platinum
16-0257,157.82,114,9,280.82,TX,AFJROTC,Platinum
16-2871,162,118,0,280,KS,AFJROTC,Gold
16-3281,202,70,8,280,GA,AFJROTC,Gold
16-1371,144,130,4,278,LA,AFJROTC,Gold
16-0395,166.67,103,8,277.67,NJ,AFJROTC,Gold
16-3531,137.59,115,23.71,276.3,CA,AFJROTC,Gold
16-2008,133,143,0,276,TX,AFJROTC,Gold
16-2856,168,99,9,276,AL,AFJROTC,Gold
16-0520,169.67,103,3,275.67,TN,AFJROTC,Gold
16-2012,145,129,0,274,TX,AFJROTC,Gold
16-4361,184.35,78,10.43,272.78,ND,AFJROTC,Gold
16-4049,160,101,10,271,NJ,AFJROTC,Gold
16-3870,141.67,122,7,270.67,UT,AFJROTC,Gold
16-2970,139,131,0,270,FL,AFJROTC,Gold
16-3968,156,105,9,270,CA,AFJROTC,Gold
16-0286,147.12,121,0,268.12,OK,AFJROTC,Gold
16-3024,132,135,0,267,VA,AFJROTC,Gold
16-4670,136,123,8,267,TX,AFJROTC,Gold
16-3277,128.82,128,8.29,265.11,MS,AFJROTC,Gold
16-1599,163,102,0,265,SC,AFJROTC,Gold
16-0161,148,107,9,264,AR,AFJROTC,Gold
16-1759,162.82,89,9,260.82,AP,AFJROTC,Gold
16-1449,122,135,0,257,FL,AFJROTC,Gold
16-1087,141,106,9,256,IL,AFJROTC,Gold
16-2737,144,111,0,255,TX,AFJROTC,Gold
16-3504,109,145,0,254,TX,AFJROTC,Gold
16-2579,130,117,6.14,253.14,AL,AFJROTC,Gold
16-0169,150.67,95,7,252.67,OK,AFJROTC,Gold
16-2577,147.67,98,7,252.67,TX,AFJROTC,Gold
16-3704,114,138,0,252,TX,AFJROTC,Gold
16-2695,129,120,0,249,NJ,AFJROTC,Gold
16-4880,125,124,0,249,MD,AFJROTC,Gold
16-3270,139,109,0,248,SC,AFJROTC,Gold
16-1554,144.94,93,10,247.94,TX,AFJROTC,Gold
16-2440,156,91,0,247,WA,AFJROTC,Gold
16-2574,144.33,95,7,246.33,TX,AFJROTC,Gold
16-2900,128,108,10,246,OH,AFJROTC,Gold
16-5117,154,88,0,242,TX,AFJROTC,Gold
16-3242,132,108,0,240,GA,AFJROTC,Gold
16-1053,126,112,0,238,TX,AFJROTC,Gold
16-2404,148,90,0,238,AZ,AFJROTC,Gold
16-4036,134,104,0,238,KY,AFJROTC,Gold
16-1562,114,122,0,236,NY,AFJROTC,Gold
